nm_uf,nm_micro,lng,lat
RONDÔNIA,JI-PARANA,-62.27726574773529,-10.78864971065191
SANTA CATARINA,JOACABA,-51.33213321096588,-27.012195990490763
SANTA CATARINA,JOINVILLE,-48.82737584566112,-26.343931206457224
PARAÍBA,JOAO PESSOA,-34.89761711078804,-7.118715649049925
BAHIA,JUAZEIRO,-41.05302193782525,-9.519404851869684
MINAS GERAIS,JUIZ DE FORA,-43.43135055323684,-21.765530422017562
SAO PAULO,JUNDIAI,-46.99957726059963,-23.153892997282497
AMAZONAS,JURUA,-69.33128181930526,-6.328178180899592
RIO DE JANEIRO,LAGOS,-42.21764692611023,-22.814919226956015
RIO GRANDE DO SUL,LAJEADO-ESTRELA,-51.98680445674014,-29.374980465415664
PARANÁ,LAPA,-49.8513499667948,-25.710822544818825
MINAS GERAIS,LAVRAS,-44.94660791389302,-21.270314575266937
CEARÁ,LAVRAS DA MANGABEIRA,-38.85946066557461,-6.755484782835345
MARANHÃO,LENCOIS MARANHENSES,-42.95085748367524,-2.7747055090853547
SAO PAULO,LIMEIRA,-47.358657032626496,-22.51715828538753
ESPÍRITO SANTO,LINHARES,-40.22110064394017,-19.62372159928656
SAO PAULO,LINS,-49.753949329319155,-21.70019063646799
CEARÁ,LITORAL DE ARACATI,-37.695250809339086,-4.624632328035953
CEARÁ,LITORAL DE CAMOCIM E ACARAU,-40.51921236786654,-3.04725732193888
RIO GRANDE DO SUL,LITORAL LAGUNAR,-52.460203634258306,-32.46137620036292
RIO GRANDE DO NORTE,LITORAL NORDESTE,-35.577292247196254,-5.32870183297146
PARAÍBA,LITORAL NORTE,-35.08401410148375,-6.7564617512189615
ALAGOAS,LITORAL NORTE ALAGOANO,-35.28405460769757,-9.042585785717625
MARANHÃO,LITORAL OCIDENTAL MARANHENSE,-44.71804155847351,-2.0934411819715564
PIAUÍ,LITORAL PIAUIENSE,-41.64844412314056,-3.242469640901802
PARAÍBA,LITORAL SUL,-34.9256873953351,-7.416290505264529
RIO GRANDE DO NORTE,LITORAL SUL,-35.16508181037368,-6.302992122012415
BAHIA,LIVRAMENTO DO BRUMADO,-42.00250316298024,-13.563621142522244
PARANÁ,LONDRINA,-51.20950199067592,-23.357965401261193
RIO DE JANEIRO,MACACU-CACERIBU,-42.67062847185599,-22.593620599500785
AMAPA,MACAPA,-51.16359186497283,0.6359857392094863
RIO GRANDE DO NORTE,MACAU,-36.25769006792507,-5.150243919152072
RIO DE JANEIRO,MACAE,-41.78164272464286,-22.210593680343493
RIO GRANDE DO NORTE,MACAIBA,-35.360627821264195,-5.8412923336060505
ALAGOAS,MACEIO,-35.83255740932985,-9.591463071097602
AMAZONAS,MADEIRA,-60.376257680350804,-5.262907792783907
AMAZONAS,MANAUS,-59.8661312808591,-3.4079143324329624
MINAS GERAIS,MANHUACU,-42.03764236645486,-20.228635279822335
MINAS GERAIS,MANTENA,-41.19730721471946,-18.630878944448668
PARÁ,MARABA,-49.059239326007976,-5.532462718362952
PARANÁ,MARINGA,-51.928385943382786,-23.474358507936294
SAO PAULO,MARILIA,-49.93117196876105,-22.239588412690992
ALAGOAS,MATA ALAGOANA,-35.78541495398447,-9.216529145773473
PERNAMBUCO,MATA MERIDIONAL PERNAMBUCANA,-35.45072481614505,-8.662377967219008
PERNAMBUCO,MATA SETENTRIONAL PERNAMBUCANA,-35.18766760665268,-7.655420855806647
AMAPA,MAZAGAO,-51.885669631814224,-0.5685829636262022
GOIÁS,MEIA PONTE,-49.33671176098863,-17.857269214796503
CEARÁ,MERUOCA,-40.49425681556789,-3.5810742115086183
TOCANTINS,MIRACEMA DO TOCANTINS,-48.93495859826219,-8.929863603411096
